workout name,workout settings,date,weight kg,sets,reps
chest press,6,2024-06-09,22,2,10
seated row,"s 5, c 6",2024-06-09,34,2,10
seated dip,6,2024-06-09,30,2,10
div lat pulldown,,2024-06-09,29,2,10
shoulder press,6,2024-06-09,16,2,10
pec fly,5,2024-06-09,39,2,10
rear delt,2,2024-06-09,25,2,10
arm curl,5,2024-06-09,13,2,10
dumbell,,2024-06-09,11,2,10
conv chest press,6,2024-06-09,25,2,10
lateral raise,5,2024-06-09,17,2,10
triceps extension,6,2024-06-09,29,2,10
chin asist,,2024-06-09,1000/32,2,10
leg press,3,2024-06-09,39,2,10
lat pulldown,,2024-06-09,32,2,10
conv shoulder press,6,2024-06-09,15,2,10
chest press,6,2024-06-15,27,2,10
seated row,"s 5, c 6",2024-06-15,36,2,10
seated dip,6,2024-06-15,33,2,10
div lat pulldown,,2024-06-15,31,2,10
shoulder press,6,2024-06-15,17,2,10
pec fly,5,2024-06-15,45,2,10
rear delt,2,2024-06-15,25,2,10
arm curl,5,2024-06-15,16,2,10
dumbell,,2024-06-15,12,2,10
conv chest press,6,2024-06-15,27,2,10
lateral raise,5,2024-06-15,19,2,10
triceps extension,6,2024-06-15,30,2,10
chin asist,,2024-06-15,1000/32,2,10
leg press,3,2024-06-15,39,2,10
lat pulldown,,2024-06-15,32,2,10
conv shoulder press,6,2024-06-15,15,2,10
chest press,6,2024-06-16,27,2,10
seated row,"s 5, c 6",2024-06-16,36,2,10
seated dip,6,2024-06-16,33,2,10
div lat pulldown,,2024-06-16,32,2,10
shoulder press,6,2024-06-16,17,2,10
pec fly,5,2024-06-16,45,2,10
rear delt,2,2024-06-16,25,2,10
arm curl,5,2024-06-16,16,2,10
dumbell,,2024-06-16,12,2,10
conv chest press,6,2024-06-16,27,2,10
lateral raise,5,2024-06-16,19,2,10
triceps extension,6,2024-06-16,32,2,10
chin asist,,2024-06-16,1000/32,2,10
leg press,3,2024-06-16,39,2,10
lat pulldown,,2024-06-16,32,2,10
conv shoulder press,6,2024-06-16,15,2,10
chest press,6,2024-06-22,27,2,10
seated row,"s 5, c 6",2024-06-22,36,2,10
seated dip,6,2024-06-22,33,2,10
div lat pulldown,,2024-06-22,32,2,10
shoulder press,6,2024-06-22,18,2,10
pec fly,5,2024-06-22,45,2,10
rear delt,2,2024-06-22,25,2,10
arm curl,5,2024-06-22,16,2,10
dumbell,,2024-06-22,12,2,10
conv chest press,6,2024-06-22,27,2,10
lateral raise,5,2024-06-22,19,2,10
triceps extension,6,2024-06-22,32,2,10
chin asist,,2024-06-22,1000/32,2,10
leg press,3,2024-06-22,39,2,10
lat pulldown,,2024-06-22,32,2,10
conv shoulder press,6,2024-06-22,15,2,10
chest press,6,2024-06-23,27,2,10
seated row,"s 5, c 6",2024-06-23,36,2,10
seated dip,6,2024-06-23,33,2,10
div lat pulldown,,2024-06-23,32,2,10
shoulder press,6,2024-06-23,20,2,10
pec fly,5,2024-06-23,45,2,10
rear delt,2,2024-06-23,25,2,10
arm curl,5,2024-06-23,16,2,10
dumbell,,2024-06-23,12,2,10
conv chest press,6,2024-06-23,27,2,10
lateral raise,5,2024-06-23,20,2,10
triceps extension,6,2024-06-23,32,2,10
chin asist,,2024-06-23,1000/32,2,10
leg press,3,2024-06-23,39,2,10
lat pulldown,,2024-06-23,32,2,10
conv shoulder press,6,2024-06-23,15,2,10
chest press,6,2024-06-29,29,2,10
seated row,"s 5, c 6",2024-06-29,39,2,10
seated dip,6,2024-06-29,36,2,10
div lat pulldown,,2024-06-29,34,2,10
shoulder press,6,2024-06-29,22,2,10
pec fly,5,2024-06-29,52,2,10
rear delt,2,2024-06-29,32,2,10
arm curl,5,2024-06-29,18,2,10
dumbell,,2024-06-29,13,2,10
conv chest press,6,2024-06-29,29,2,10
lateral raise,5,2024-06-29,22,2,10
triceps extension,6,2024-06-29,34,2,10
chin asist,,2024-06-29,1000/32,2,10
leg press,3,2024-06-29,39,2,10
lat pulldown,,2024-06-29,32,2,10
conv shoulder press,6,2024-06-29,15,2,10
chest press,6,2024-07-06,29,2,10
seated row,"s 5, c 6",2024-07-06,39,2,10
seated dip,6,2024-07-06,36,2,10
div lat pulldown,,2024-07-06,34,2,10
shoulder press,6,2024-07-06,22,2,10
pec fly,5,2024-07-06,52,2,10
rear delt,2,2024-07-06,32,2,10
arm curl,5,2024-07-06,18,2,10
dumbell,,2024-07-06,13,2,10
conv chest press,6,2024-07-06,29,2,10
lateral raise,5,2024-07-06,23,2,10
triceps extension,6,2024-07-06,34,2,10
chin asist,,2024-07-06,1000/32,2,10
leg press,3,2024-07-06,39,2,10
lat pulldown,,2024-07-06,32,2,10
conv shoulder press,6,2024-07-06,15,2,10
chest press,6,2024-07-13,29,2,10
seated row,"s 5, c 6",2024-07-13,39,2,10
seated dip,6,2024-07-13,37,2,10
div lat pulldown,,2024-07-13,34,2,10
shoulder press,6,2024-07-13,23,2,10
pec fly,5,2024-07-13,52,2,10
rear delt,2,2024-07-13,32,2,10
arm curl,5,2024-07-13,18,2,10
dumbell,,2024-07-13,13,2,10
conv chest press,6,2024-07-13,29,2,10
lateral raise,5,2024-07-13,25,2,10
triceps extension,6,2024-07-13,34,2,10
chin asist,,2024-07-13,1000/32,2,10
leg press,3,2024-07-13,39,2,10
lat pulldown,,2024-07-13,32,2,10
conv shoulder press,6,2024-07-13,15,2,10
chest press,6,2024-07-16,32,2,10
seated row,"s 5, c 6",2024-07-16,41,2,10
seated dip,6,2024-07-16,41,2,10
div lat pulldown,,2024-07-16,36,2,10
shoulder press,6,2024-07-16,25,2,10
pec fly,5,2024-07-16,59,2,10
rear delt,2,2024-07-16,39,2,10
arm curl,5,2024-07-16,20,2,10
dumbell,,2024-07-16,14,2,10
conv chest press,6,2024-07-16,32,2,10
lateral raise,5,2024-07-16,27,2,10
triceps extension,6,2024-07-16,36,2,10
chin asist,,2024-07-16,1000/32,2,10
leg press,3,2024-07-16,39,2,10
lat pulldown,,2024-07-16,32,2,10
conv shoulder press,6,2024-07-16,15,2,10
chest press,6,2024-07-18,34,2,10
seated row,"s 5, c 6",2024-07-18,41,2,10
seated dip,6,2024-07-18,41,2,10
div lat pulldown,,2024-07-18,36,2,10
shoulder press,6,2024-07-18,25,2,10
pec fly,5,2024-07-18,59,2,10
rear delt,2,2024-07-18,39,2,10
arm curl,5,2024-07-18,20,2,10
dumbell,,2024-07-18,13,2,10
conv chest press,6,2024-07-18,34,2,10
lateral raise,5,2024-07-18,27,2,10
triceps extension,6,2024-07-18,36,2,10
chin asist,,2024-07-18,1000/32,2,10
leg press,3,2024-07-18,39,2,10
lat pulldown,,2024-07-18,32,2,10
conv shoulder press,6,2024-07-18,15,2,10
chest press,6,2024-07-20,34,2,10
seated row,"s 5, c 6",2024-07-20,41,2,10
seated dip,6,2024-07-20,41,2,10
div lat pulldown,,2024-07-20,36,2,10
shoulder press,6,2024-07-20,25,2,10
pec fly,5,2024-07-20,59,2,10
rear delt,2,2024-07-20,39,2,10
arm curl,5,2024-07-20,20,2,10
dumbell,,2024-07-20,13,2,10
conv chest press,6,2024-07-20,34,2,10
lateral raise,5,2024-07-20,27,2,10
triceps extension,6,2024-07-20,36,2,10
chin asist,,2024-07-20,1000/32,2,10
leg press,3,2024-07-20,39,2,10
lat pulldown,,2024-07-20,32,2,10
conv shoulder press,6,2024-07-20,15,2,10
chest press,6,2024-07-26,34,2,10
seated row,"s 5, c 6",2024-07-26,41,2,10
seated dip,6,2024-07-26,41,2,10
div lat pulldown,,2024-07-26,36,2,10
shoulder press,6,2024-07-26,25,2,10
pec fly,5,2024-07-26,59,2,10
rear delt,2,2024-07-26,39,2,10
arm curl,5,2024-07-26,20,2,10
dumbell,,2024-07-26,14,2,10
conv chest press,6,2024-07-26,34,2,10
lateral raise,5,2024-07-26,29,2,10
triceps extension,6,2024-07-26,36,2,10
chin asist,,2024-07-26,1000/32,2,10
leg press,3,2024-07-26,39,2,10
lat pulldown,,2024-07-26,32,2,10
conv shoulder press,6,2024-07-26,15,2,10
chest press,6,2024-08-02,34,2,10
seated row,"s 5, c 6",2024-08-02,41,2,10
seated dip,6,2024-08-02,41,2,10
div lat pulldown,,2024-08-02,36,2,10
